group_name,yes_rsvp_count,latitude,longitude,station,distance,proximity_weighted_rsvp_count
"Women Of Cherish, Embracing Women Within.",1,40.75046920776367,-73.98060607910156,GRD CNTRL-42 ST,0.2164368836630667,0.7835631163369333
Girl Boss Networking- NYC Chapter,1,40.75128936767578,-73.97630310058594,GRD CNTRL-42 ST,0.04409013492373948,0.9559098650762605
NYC Lesbian Social and Travel Group,22,40.75041580200195,-73.98716735839844,GRD CNTRL-42 ST,0.5482480654700556,9.938542559658778
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,34 ST-HERALD SQ,0.4571370428428568,20.628792371971443
League of Women Coders,66,40.74467086791992,-73.98486328125,34 ST-HERALD SQ,0.3816511124274777,40.81102657978647
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,34 ST-HERALD SQ,0.38536784087114456,21.51212556950994
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,34 ST-HERALD SQ,0.15098991482798202,22.074262214472466
Techfest Club: the monthly event for women in tech,20,40.74253845214844,-73.99455261230469,34 ST-HERALD SQ,0.6084678775401047,7.8306424491979065
The Women Tribe,1,40.74821853637695,-73.98643493652344,34 ST-HERALD SQ,0.12659673777079583,0.8734032622292042
The Business of WE (Women Entrepreneurs),8,40.76038360595703,-73.97667694091797,34 ST-HERALD SQ,0.9398244455443665,0.48140443564506796
Women Entrepreneur Resource & Educational Community-New York,4,40.76054000854492,-73.9753189086914,34 ST-HERALD SQ,0.9936256810539023,0.025497275784390983
Women of Wearables New York Chapter (W.O.W NY),8,40.752498626708984,-74.00105285644531,34 ST-HERALD SQ,0.7186123720770209,2.251101023383833
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,23 ST,0.8732920539415918,4.814901950219511
League of Women Coders,66,40.74467086791992,-73.98486328125,23 ST,0.5664868872479475,28.611865441635466
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,23 ST,0.8845350583851789,4.041272956518739
Girl Develop It NYC,75,40.734615325927734,-73.99108123779297,23 ST,0.6965026290860131,22.762302818549017
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,23 ST,0.676014392458793,8.42362579607138
Techfest Club: the monthly event for women in tech,20,40.74253845214844,-73.99455261230469,23 ST,0.1212496008346622,17.575007983306755
The Women Tribe,1,40.74821853637695,-73.98643493652344,23 ST,0.5610325459505412,0.4389674540494588
Women of Wearables New York Chapter (W.O.W NY),8,40.752498626708984,-74.00105285644531,23 ST,0.6465538686615586,2.827569050707531
Girl Develop It NYC,15,40.73882293701172,-73.99205017089844,23 ST,0.40943296281778074,8.858505557733288
R-Ladies New York,40,40.7400016784668,-73.98999786376953,23 ST,0.40890699323108415,23.643720270756635
Empowering Women in Business™ (EWB),2,40.745914459228516,-73.98155212402344,23 ST,0.7491297577853523,0.5017404844292954
"Women Of Cherish, Embracing Women Within.",1,40.75046920776367,-73.98060607910156,23 ST,0.9030525385053696,0.0969474614946304
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,42 ST-PORT AUTH,0.0917540058572205,34.51334777742562
League of Women Coders,66,40.74467086791992,-73.98486328125,42 ST-PORT AUTH,0.9096127235351664,5.965560246679016
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,42 ST-PORT AUTH,0.1821014221877124,28.626450223430066
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,42 ST-PORT AUTH,0.3855679594848869,15.975233053392941
The Women Tribe,1,40.74821853637695,-73.98643493652344,42 ST-PORT AUTH,0.6513399159588856,0.34866008404111437
The Business of WE (Women Entrepreneurs),8,40.76038360595703,-73.97667694091797,42 ST-PORT AUTH,0.7156783204719582,2.274573436224334
Women Entrepreneur Resource & Educational Community-New York,4,40.76054000854492,-73.9753189086914,42 ST-PORT AUTH,0.7868281487344166,0.8526874050623334
Women of Wearables New York Chapter (W.O.W NY),8,40.752498626708984,-74.00105285644531,42 ST-PORT AUTH,0.679200154074608,2.566398767403136
"Women Of Cherish, Embracing Women Within.",1,40.75046920776367,-73.98060607910156,42 ST-PORT AUTH,0.671986238695153,0.32801376130484705
Girl Boss Networking- NYC Chapter,1,40.75128936767578,-73.97630310058594,42 ST-PORT AUTH,0.8167975297617923,0.18320247023820768
NYC Lesbian Social and Travel Group,22,40.75041580200195,-73.98716735839844,42 ST-PORT AUTH,0.4948036597918017,11.114319484580362
NYC-Women in STEM,17,40.765380859375,-73.95748138427734,59 ST,0.583105162516883,7.087212237212988
New York Entertainment Connections,35,40.756717681884766,-73.98004150390625,59 ST,0.748582570243445,8.799610041479426
The Business of WE (Women Entrepreneurs),8,40.76038360595703,-73.97667694091797,59 ST,0.47925492523215774,4.165960598142738
Women Entrepreneur Resource & Educational Community-New York,4,40.76054000854492,-73.9753189086914,59 ST,0.4084878829196774,2.3660484683212903
Girl Boss Networking- NYC Chapter,1,40.75128936767578,-73.97630310058594,59 ST,0.890564299574508,0.109435700425492
Women in Tech Sales New York,3,40.75481414794922,-73.98064422607422,59 ST,0.8509465885673592,0.4471602342979225
Really Fun NYC Events,27,40.752559661865234,-73.96748352050781,59 ST,0.6890708611295263,8.39508674950279
The Best Stuff To Do In New York City,26,40.75093460083008,-73.97710418701172,59 ST,0.9327967206734467,1.747285262490387
New York Women in Crypto & Blockchain Investment Club Meetup,3,40.753170013427734,-73.9822006225586,59 ST,0.986310674289328,0.041067977132016154
MetroNY AWIS Meetup Group,17,40.755645751953125,-73.9686279296875,59 ST,0.47663507576603764,8.897203711977362
Out Professionals,13,40.76100540161133,-73.98658752441406,59 ST,0.9801211844252044,0.25842460247234345
New York City Wired,9,40.76713180541992,-73.98168182373047,59 ST,0.7850965975490145,1.9341306220588694
League of Women Voters of the City of New York,3,40.7542724609375,-73.98126220703125,59 ST,0.8996456919420284,0.3010629241739149
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,TIMES SQ-42 ST,0.1573747881104732,32.019758051802015
League of Women Coders,66,40.74467086791992,-73.98486328125,TIMES SQ-42 ST,0.7465288343587585,16.72909693232194
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,TIMES SQ-42 ST,7.156399233581369e-05,34.997495260268245
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,TIMES SQ-42 ST,0.2349389483027698,19.891587344127988
Techfest Club: the monthly event for women in tech,20,40.74253845214844,-73.99455261230469,TIMES SQ-42 ST,0.955359324698168,0.8928135060366404
The Women Tribe,1,40.74821853637695,-73.98643493652344,TIMES SQ-42 ST,0.4917303772226943,0.5082696227773057
The Business of WE (Women Entrepreneurs),8,40.76038360595703,-73.97667694091797,TIMES SQ-42 ST,0.6666447138079625,2.6668422895362998
Women Entrepreneur Resource & Educational Community-New York,4,40.76054000854492,-73.9753189086914,TIMES SQ-42 ST,0.7332602243918648,1.0669591024325409
Women of Wearables New York Chapter (W.O.W NY),8,40.752498626708984,-74.00105285644531,TIMES SQ-42 ST,0.7353540435560367,2.117167651551706
"Women Of Cherish, Embracing Women Within.",1,40.75046920776367,-73.98060607910156,TIMES SQ-42 ST,0.4908710564527806,0.5091289435472194
Girl Boss Networking- NYC Chapter,1,40.75128936767578,-73.97630310058594,TIMES SQ-42 ST,0.6477259270531813,0.3522740729468187
