name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
rogerandme,http://www.boxofficemojo.com/movies/?id=rogerandme.htm,20062,"$6,706,368",Warner Bros.,"December 22, 1989",Documentary,1 hrs. 31 min.,R,"$160,000"
totalrecall,http://www.boxofficemojo.com/movies/?id=totalrecall.htm,29188,"$119,394,840Domestic Lifetime Gross: $119,412,921",Sony / Columbia,"June 1, 1990",Sci-Fi Action,1 hrs. 53 min.,R,$65 million
incrowd,http://www.boxofficemojo.com/movies/?id=incrowd.htm,20375,"$5,280,035",Warner Bros.,"July 21, 2000",Thriller,1 hrs. 45 min.,PG-13,$24 million
workinggirl,http://www.boxofficemojo.com/movies/?id=workinggirl.htm,23764,"$63,779,477",Fox,"December 23, 1988",Romantic Comedy,1 hrs. 54 min.,R,N/A
6thday,http://www.boxofficemojo.com/movies/?id=6thday.htm,23654,"$34,604,280",Sony / Columbia,"November 17, 2000",Sci-Fi Action,2 hrs. 4 min.,PG-13,$82 million
heiglkutcheraction,http://www.boxofficemojo.com/movies/?id=heiglkutcheraction.htm,24295,"$47,059,963",Lionsgate,"June 4, 2010",Action Comedy,1 hrs. 40 min.,PG-13,$75 million
nameoftherose,http://www.boxofficemojo.com/movies/?id=nameoftherose.htm,20390,"$7,153,487",Fox,"September 26, 1986",Unknown,2 hrs. 10 min.,R,N/A
escapefromplanetearth,http://www.boxofficemojo.com/movies/?id=escapefromplanetearth.htm,27029,"$57,012,977",Weinstein Company,"February 15, 2013",Animation,1 hrs. 29 min.,PG,$40 million
tomorrowneverdies,http://www.boxofficemojo.com/movies/?id=tomorrowneverdies.htm,27828,"$125,304,276",MGM,"December 19, 1997",Action,1 hrs. 59 min.,PG-13,N/A
abovetherim,http://www.boxofficemojo.com/movies/?id=abovetherim.htm,20748,"$16,192,320",New Line,"March 25, 1994",Sports Drama,1 hrs. 38 min.,R,N/A
onemanshero,http://www.boxofficemojo.com/movies/?id=onemanshero.htm,18774,"$240,067",MGM,"September 24, 1999",Unknown,2 hrs. 2 min.,R,N/A
187,http://www.boxofficemojo.com/movies/?id=187.htm,20955,"$5,727,130",Warner Bros.,"July 30, 1997",Drama,1 hrs. 59 min.,R,N/A
manchuriancandidate,http://www.boxofficemojo.com/movies/?id=manchuriancandidate.htm,28115,"$65,955,630",Paramount,"July 30, 2004",Thriller,2 hrs. 10 min.,R,$80 million
alexanderbadday,http://www.boxofficemojo.com/movies/?id=alexanderbadday.htm,24540,"$66,954,149",Buena Vista,"October 10, 2014",Family,1 hrs. 21 min.,PG,$28 million
whostheman,http://www.boxofficemojo.com/movies/?id=whostheman.htm,20028,"$11,299,730",New Line,"April 23, 1993",Comedy,1 hrs. 30 min.,R,N/A
passionfish,http://www.boxofficemojo.com/movies/?id=passionfish.htm,19843,"$4,814,619",Miramax,"December 9, 1992",Drama,2 hrs. 14 min.,R,N/A
shorts,http://www.boxofficemojo.com/movies/?id=shorts.htm,24111,"$20,919,166",Warner Bros.,"August 21, 2009",Family Adventure,1 hrs. 29 min.,PG,N/A
stolensummer,http://www.boxofficemojo.com/movies/?id=stolensummer.htm,20715,"$134,736",Miramax,"March 22, 2002",Unknown,1 hrs. 31 min.,PG,$1.8 million
almanac,http://www.boxofficemojo.com/movies/?id=almanac.htm,24080,"$22,348,241",Paramount,"January 30, 2015",Sci-Fi,1 hrs. 46 min.,PG-13,$12 million
